YEAR,DOY,T2M,RH2M,WS2M,T2MDEW,avg_precip
2025,38,19.95,49.39,1.44,6.91,0.0005860079300396683
2025,39,18.91,45.19,1.41,5.79,0.0027677606426253156
2025,40,19.07,46.98,1.39,6.57,0.007197980468806347
2025,41,20.91,45.72,0.99,8.21,0.004754778019112874
2025,42,21.97,57.45,1.36,12.54,0.009309411986657051
2025,43,23.18,57.97,1.34,13.49,0.03238189606346917
2025,44,23.48,65.83,1.48,15.95,0.10508294127479265
2025,45,21.12,41.35,1.63,5.65,0.006190046624233682
2025,46,21.03,41.34,1.47,6.49,0.018907320027767762
2025,47,22.33,43.4,1.3,8.5,0.0061467723580959244
2025,48,23.84,56.58,0.85,13.66,0.020872700436711144
2025,49,24.58,54.36,1.21,14.15,0.12013523049224667
2025,50,24.03,57.02,1.2,14.18,0.22902631913631447
2025,51,24.85,63.15,0.95,16.3,1.0748304871687704
2025,52,24.33,56.16,1.31,14.32,0.06745582240245222
2025,53,25.71,53.21,0.87,14.82,0.8524936711442481
2025,54,24.46,61.42,1.01,16.19,1.6976649530483232
2025,55,23.88,58.7,1.63,14.32,0.023671114220338983
2025,56,23.51,49.32,1.61,10.92,0.045378650830508474
2025,57,23.04,46.45,1.87,9.86,0.22545077134475294
2025,58,23.37,50.64,1.71,11.54,0.23062206740497657
2025,59,24.85,48.26,1.03,12.51,0.20729895003317708
2025,60,26.18,50.27,1.37,14.35,0.19524882533249188
2025,61,27.46,56.95,2.07,16.54,0.006438874705012622
2025,62,27.27,51.19,1.4,15.29,0.002560403763793725
2025,63,25.91,41.89,1.59,10.79,0.0002380093570140642
2025,64,24.56,41.21,2.27,9.65,0.0020266858658492606
2025,65,24.01,34.84,1.5,6.42,0.001173818963577353
2025,66,22.68,38.34,1.94,6.0,0.0015218174994590696
2025,67,24.87,39.16,1.31,9.18,0.008644067507753336
2025,68,25.08,48.84,1.38,11.89,0.00990443547241255
2025,69,26.08,44.21,1.29,11.89,0.009906238288496214
2025,70,27.18,45.14,1.6,13.46,0.09708618511467725
2025,71,27.45,46.77,2.12,13.67,0.9881049167562207
2025,72,28.43,54.91,1.98,16.85,0.5420879950205554
2025,73,29.6,54.08,1.68,17.35,0.15169311028416876
2025,74,29.74,58.26,1.55,18.99,0.32177604691525424
2025,75,30.69,54.37,2.02,18.07,0.3402920951478543
2025,76,30.31,53.16,2.14,18.0,0.4657410656675081
2025,77,30.03,48.94,1.64,16.39,0.05890191044969347
2025,78,29.94,41.48,1.19,13.87,0.0034276955524702485
2025,79,29.94,47.58,1.74,16.63,0.9087504506639018
2025,80,26.96,55.74,2.87,16.77,2.2399513624118286
2025,81,24.96,60.73,1.92,16.28,1.9228704975560764
2025,82,26.17,51.66,1.65,14.42,0.5717670224626757
2025,83,26.41,47.31,1.87,13.06,0.004028128197259286
2025,84,27.4,41.11,1.64,12.01,3.6062025604038944e-05
2025,85,29.12,37.22,1.03,12.28,0.0013883879372520737
2025,86,29.68,46.46,1.5,15.54,0.005842048071763433
2025,87,30.8,45.52,2.16,14.27,0.005338982773169852
2025,88,30.91,48.11,2.19,15.37,0.0006833753977641544
2025,89,30.56,54.53,1.42,18.07,0.0012441398813559323
2025,90,30.69,47.69,1.63,16.89,0.33604038195780744
2025,91,30.55,55.36,2.41,19.21,0.5056364828525063
2025,92,30.72,50.24,1.27,16.79,0.11201947158348359
2025,93,29.12,57.66,1.64,19.28,0.28316984522430577
2025,94,30.73,50.05,1.82,17.45,0.5186368407050127
2025,95,30.79,49.86,1.77,17.56,0.2915777068597187
